"Age and sex distribution, New South Wales"
"Age group (years)","Sydney (Males) (%)","Rest of NSW (Males) (%)","Sydney (Females) (%)","Rest of NSW (Females) (%)"
"0-4","3.3","3.0","3.1","2.9"
"5-9","3.2","3.3","3.1","3.1"
"10-14","3.0","3.3","2.8","3.1"
"15-19","3.0","3.1","2.8","2.9"
"20-24","3.9","3.0","3.6","2.8"
"25-29","4.3","3.0","4.2","2.9"
"30-34","4.1","2.8","4.2","2.9"
"35-39","3.9","2.8","3.9","2.9"
"40-44","3.3","2.7","3.3","2.9"
"45-49","3.2","3.1","3.3","3.3"
"50-54","2.8","3.0","3.0","3.2"
"55-59","2.8","3.4","2.9","3.5"
"60-64","2.4","3.3","2.6","3.4"
"65-69","2.0","3.0","2.2","3.1"
"70-74","1.7","2.7","1.9","2.7"
"75-79","1.2","1.9","1.3","2.0"
"80-84","0.8","1.2","1.0","1.5"
"85+","0.7","1.0","1.2","1.6"

"Source: Australian Bureau of Statistics, Regional population by age and sex 2019"