"Age and sex distribution, Queensland"
"Age group (years)","Brisbane (Males) (%)","Rest of Qld. (Males) (%)","Brisbane (Females) (%)","Rest of Qld. (Females) (%)"
"0-4","3.3","3.1","3.1","2.9"
"5-9","3.5","3.4","3.3","3.2"
"10-14","3.3","3.4","3.1","3.3"
"15-19","3.2","3.2","3.0","3.0"
"20-24","3.8","3.0","3.8","3.0"
"25-29","4.0","3.2","4.1","3.2"
"30-34","3.8","3.1","3.9","3.3"
"35-39","3.6","3.0","3.7","3.2"
"40-44","3.2","3.0","3.3","3.1"
"45-49","3.3","3.3","3.5","3.5"
"50-54","2.9","3.1","3.1","3.3"
"55-59","2.8","3.2","2.9","3.4"
"60-64","2.4","3.0","2.5","3.1"
"65-69","2.1","2.7","2.2","2.7"
"70-74","1.8","2.4","1.9","2.4"
"75-79","1.2","1.6","1.3","1.7"
"80-84","0.7","1.0","0.9","1.1"
"85+","0.6","0.8","1.0","1.2"

"Source: Australian Bureau of Statistics, Regional population by age and sex 2019"