"Age and sex distribution, Victoria"
"Age group (years)","Melbourne (Males) (%)","Rest of Vic. (Males) (%)","Melbourne (Females) (%)","Rest of Vic. (Females) (%)"
"0-4","3.2","3.0","3.0","2.8"
"5-9","3.2","3.2","3.0","3.0"
"10-14","2.9","3.2","2.8","3.0"
"15-19","2.9","3.1","2.8","2.9"
"20-24","4.1","3.1","3.8","2.7"
"25-29","4.4","3.0","4.3","2.9"
"30-34","4.2","2.8","4.3","3.0"
"35-39","3.9","2.7","3.9","2.9"
"40-44","3.3","2.8","3.3","2.9"
"45-49","3.2","3.1","3.4","3.3"
"50-54","2.9","3.1","3.0","3.2"
"55-59","2.7","3.4","2.8","3.5"
"60-64","2.3","3.3","2.5","3.5"
"65-69","1.9","3.1","2.2","3.2"
"70-74","1.7","2.7","1.9","2.7"
"75-79","1.2","1.8","1.3","1.9"
"80-84","0.8","1.2","1.0","1.4"
"85+","0.7","1.0","1.2","1.6"

"Source: Australian Bureau of Statistics, Regional population by age and sex 2019"