coo_vietnam_2016_urp_ppl_born_vietnam, coo_philippines_2016_urp_ppl_born_philippines, coo_vietnam_2016_urp_tot_pop, coo_south_korea_2016_urp_tot_pop, coo_italy_2016_urp_ppl_born_italy, coo_malaysia_2016_urp_ppl_born_malaysia, coo_south_korea_2016_urp_pc_pop_born_south_korea, coo_vietnam_2016_urp_pc_pop_born_vietnam, coo_malaysia_2016_urp_pc_pop_born_malaysia, coo_sri_lanka_2016_urp_tot_pop, coo_germany_2016_urp_tot_pop, coo_india_2016_urp_pc_pop_born_india, coo_greece_2016_urp_pc_pop_born_greece, coo_philippines_2016_urp_tot_pop, coo_south_korea_2016_urp_ppl_born_south_korea, coo_india_2016_urp_ppl_born_india, coo_china_excl_china_spcl_adn_reg_2016_urp_tot_pop, phn_code, coo_italy_2016_urp_tot_pop, phn_name, first_ste1, coo_india_2016_urp_tot_pop, coo_malaysia_2016_urp_tot_pop, coo_philippines_2016_urp_pc_pop_born_philippines, coo_germany_2016_urp_ppl_born_germany, coo_greece_2016_urp_ppl_born_greece, coo_china_excl_china_spcl_adn_reg_2016_urp_ppl_born_china, coo_greece_2016_urp_tot_pop, coo_germany_2016_urp_pc_pop_born_germany, coo_italy_2016_urp_pc_pop_born_italy, coo_china_excl_china_spcl_adn_reg_2016_urp_pc_pop_born_china, coo_sri_lanka_2016_urp_ppl_born_sri_lanka, coo_sri_lanka_2016_urp_pc_pop_born_sri_lanka
16123,16364,1489974,1489974,18290,11153,1.1,1.1,0.7,1489974,1489974,1.6,1.3,1489974,15951,23989,1489974,"PHN101",1489974,"Central and Eastern Sydney","New South Wales",1489974,1489974,1.1,6079,18681,108230,1489974,0.4,1.2,7.3,3963,0.3
3375,8478,872131,872131,6426,8011,1.7,0.4,0.9,872131,872131,2.2,0.2,872131,15081,18981,872131,"PHN102",872131,"Northern Sydney","New South Wales",872131,872131,1.0,4717,1366,51018,872131,0.5,0.7,5.8,4433,0.5
7629,31738,914692,914692,4575,5930,1.7,0.8,0.6,914692,914692,7.5,0.2,914692,15710,68600,914692,"PHN103",914692,"Western Sydney","New South Wales",914692,914692,3.5,2405,2132,46648,914692,0.3,0.5,5.1,15056,1.6
636,4408,358652,358652,1312,640,0.1,0.2,0.2,358652,358652,1.2,0.2,358652,461,4218,358652,"PHN104",358652,"Nepean Blue Mountains","New South Wales",358652,358652,1.2,1760,613,1736,358652,0.5,0.4,0.5,934,0.3
53073,13000,931852,931852,9230,2392,0.2,5.7,0.3,931852,931852,1.5,0.4,931852,1770,13655,931852,"PHN105",931852,"South Western Sydney","New South Wales",931852,931852,1.4,2725,3961,15813,931852,0.3,1.0,1.7,1989,0.2
1322,2643,593767,593767,4150,782,0.1,0.2,0.1,593767,593767,0.5,0.2,593767,580,3096,593767,"PHN106",593767,"South Eastern NSW","New South Wales",593767,593767,0.4,3566,1265,3892,593767,0.6,0.7,0.7,560,0.1
226,1132,300219,300219,417,208,0.1,0.1,0.1,300219,300219,0.4,0.1,300219,191,1280,300219,"PHN107",300219,"Western NSW","New South Wales",300219,300219,0.4,725,152,647,300219,0.2,0.1,0.2,305,0.1
1204,5642,1216572,1216572,2476,1652,0.1,0.1,0.1,1216572,1216572,0.4,0.1,1216572,1569,4746,1216572,"PHN108",1216572,"Hunter New England and Central Coast","New South Wales",1216572,1216572,0.5,4322,1007,4808,1216572,0.4,0.2,0.4,910,0.1
283,1824,502958,502958,964,494,0.1,0.1,0.1,502958,502958,0.4,0.0,502958,255,2128,502958,"PHN109",502958,"North Coast","New South Wales",502958,502958,0.4,2386,157,818,502958,0.5,0.2,0.2,203,0.0
128,1193,237774,237774,1497,313,0.1,0.1,0.1,237774,237774,0.9,0.0,237774,173,2069,237774,"PHN110",237774,"Murrumbidgee","New South Wales",237774,237774,0.5,543,71,544,237774,0.2,0.6,0.2,269,0.1
46462,24404,1613814,1613814,32721,15071,0.3,2.9,0.9,1613814,1613814,4.3,1.1,1613814,5431,69614,1613814,"PHN201",1613814,"North Western Melbourne","Victoria",1613814,1613814,1.5,6073,16950,45332,1613814,0.4,2.0,2.8,12209,0.8
13933,8550,1435003,1435003,20125,24533,0.4,1.0,1.7,1435003,1435003,2.8,1.1,1435003,5887,40054,1435003,"PHN202",1435003,"Eastern Melbourne","Victoria",1435003,1435003,0.6,6850,16080,80232,1435003,0.5,1.4,5.6,18842,1.3
18662,12206,1436388,1436388,10484,8038,0.2,1.3,0.6,1436388,1436388,3.6,0.9,1436388,2757,51408,1436388,"PHN203",1436388,"South Eastern Melbourne","Victoria",1436388,1436388,0.8,7290,12585,30427,1436388,0.5,0.7,2.1,22979,1.6
331,1077,271413,271413,1502,336,0.0,0.1,0.1,271413,271413,0.4,0.1,271413,85,1018,271413,"PHN204",271413,"Gippsland","Victoria",271413,271413,0.4,1506,287,597,271413,0.6,0.6,0.2,342,0.1
604,2645,595542,595542,3391,1160,0.0,0.1,0.2,595542,595542,0.7,0.1,595542,289,4201,595542,"PHN205",595542,"Murray","Victoria",595542,595542,0.4,2259,661,1337,595542,0.4,0.6,0.2,770,0.1
755,2647,617941,617941,2320,907,0.1,0.1,0.1,617941,617941,0.6,0.1,617941,344,3942,617941,"PHN206",617941,"Western Victoria","Victoria",617941,617941,0.4,2549,725,2700,617941,0.4,0.4,0.4,769,0.1
2013,8937,943135,943135,3611,4035,0.4,0.2,0.4,943135,943135,1.5,0.0,943135,3955,14041,943135,"PHN301",943135,"Brisbane North","Queensland",943135,943135,0.9,3836,427,10333,943135,0.4,0.4,1.1,2353,0.2
13489,9895,1076138,1076138,2573,6212,0.7,1.3,0.6,1076138,1076138,1.8,0.2,1076138,7953,19379,1076138,"PHN302",1076138,"Brisbane South","Queensland",1076138,1076138,0.9,4420,1757,25181,1076138,0.4,0.2,2.3,4405,0.4
828,4106,569887,569887,1698,1699,0.6,0.1,0.3,569887,569887,0.7,0.1,569887,3178,4187,569887,"PHN303",569887,"Gold Coast","Queensland",569887,569887,0.7,2994,547,6982,569887,0.5,0.3,1.2,641,0.1
1410,4190,544769,544769,594,903,0.1,0.3,0.2,544769,544769,0.7,0.0,544769,737,3624,544769,"PHN304",544769,"Darling Downs and West Moreton","Queensland",544769,544769,0.8,1708,78,1434,544769,0.3,0.1,0.3,730,0.1
130,770,62030,62030,43,25,0.0,0.2,0.0,62030,62030,0.5,0.0,62030,14,321,62030,"PHN305",62030,"Western Queensland","Queensland",62030,62030,1.2,130,9,77,62030,0.2,0.1,0.1,69,0.1
917,5117,820942,820942,1279,958,0.1,0.1,0.1,820942,820942,0.4,0.0,820942,869,3205,820942,"PHN306",820942,"Central Queensland, Wide Bay, Sunshine Coast","Queensland",820942,820942,0.6,4177,213,1291,820942,0.5,0.2,0.2,851,0.1
740,6581,673622,673622,3140,985,0.2,0.1,0.1,673622,673622,0.6,0.0,673622,1575,4328,673622,"PHN307",673622,"Northern Queensland","Queensland",673622,673622,1.0,3019,261,1713,673622,0.4,0.5,0.3,706,0.1
12270,9934,1012888,1012888,10712,10068,0.2,1.2,1.0,1012888,1012888,2.1,0.2,1012888,2293,21632,1012888,"PHN501",1012888,"Perth North","Western Australia",1012888,1012888,1.0,4944,1789,10460,1012888,0.5,1.1,1.0,2474,0.2
2889,14753,938234,938234,6823,18545,0.4,0.3,2.0,938234,938234,2.7,0.0,938234,4023,25053,938234,"PHN502",938234,"Perth South","Western Australia",938234,938234,1.6,3757,382,15465,938234,0.4,0.7,1.6,4816,0.5
698,6149,519290,519290,1637,867,0.1,0.1,0.2,519290,519290,0.5,0.0,519290,534,2670,519290,"PHN503",519290,"Country WA","Western Australia",519290,519290,1.2,2211,134,1118,519290,0.4,0.3,0.2,507,0.1
400,1616,509965,509965,847,1409,0.1,0.1,0.3,509965,509965,0.4,0.1,509965,594,1980,509965,"PHN601",509965,"Tasmania","Tasmania",509965,509965,0.3,2108,480,3036,509965,0.4,0.2,0.6,391,0.1
935,5914,228833,228833,505,705,0.2,0.4,0.3,228833,228833,1.6,0.6,228833,405,3598,228833,"PHN701",228833,"Northern Territory","Northern Territory",228833,228833,2.6,929,1268,1192,228833,0.4,0.2,0.5,779,0.3
13768,9873,1188826,1188826,16931,7285,0.3,1.2,0.6,1188826,1188826,2.2,0.7,1188826,3476,26056,1188826,"PHN401",1188826,"Adelaide","South Australia",1188826,1188826,0.8,7453,7914,23735,1188826,0.6,1.4,2.0,3449,0.3
554,2567,484960,484960,1591,460,0.0,0.1,0.1,484960,484960,0.3,0.2,484960,201,1502,484960,"PHN402",484960,"Country SA","South Australia",484960,484960,0.5,2642,767,854,484960,0.5,0.3,0.2,342,0.1
3338,3798,397397,397397,1943,2437,0.6,0.8,0.6,397397,397397,2.6,0.2,397397,2287,10414,397397,"PHN801",397397,"Australian Capital Territory","Australian Capital Territory",397397,397397,1.0,2228,981,11351,397397,0.6,0.5,2.9,2771,0.7
