 gcc_code16, gcc_name16,Filipino,Macedonian,Polish,Greek,Spanish, Russian,Thai,Tamil,Serbian,Italian,English,Hindi,Turkish,Maltese,Persian,Punjabi,Bengali,Japanese,Tagalog,Vietnamnese,Samon,Koren,Indonesian,Other
1RNSW,Rest of NSW,2741,9172,2052,5455,6491,1246,3153,1234,2935,12839,2302328,2877,1756,1201,1275,4919,1473,2067,4470,3498,1081,2086,1340,27254
1GSYD,Greater Sydney,21451,18958,12060,76201,56929,17497,21652,28431,18544,62796,2816815,64101,19838,11119,20750,28495,30197,15241,40630,99301,15427,57789,28663,213160
2RVIC,Rest of Vic.,2003,1448,1136,3280,1769,676,1265,787,1269,10356,1241408,1761,1487,932,782,3377,526,1049,2218,1950,405,639,762,18653
2GMEL,Greater Melbourne,15756,28035,14037,107386,33664,16984,10392,24866,15779,101849,2781188,49446,30306,15954,15624,52767,10458,10418,20821,101388,11195,14844,16017,217558
3GBRI,Greater Brisbane,5930,852,3338,7557,14807,3672,4173,4095,3296,10015,1771105,14560,1199,457,5230,12982,2565,6784,9293,22573,13820,13213,3663,67617
3RQLD,Rest of Qld,5425,410,1867,2965,6135,2316,3943,1421,1463,9917,2040720,3584,854,895,1474,4996,1118,10069,7691,3311,1140,6366,1863,38908
4RSAU,Rest of SA,750,21,187,1522,251,98,233,156,99,1489,332472,252,126,40,128,793,133,173,905,440,29,102,108,3141
4GADE,Greater Adelaide,3105,614,5493,21464,5402,3195,1717,2536,4080,27595,977128,7054,564,805,4611,8498,2273,2027,4570,18563,121,3487,1712,45318
5GPER,Greater Perth,8051,5632,5501,4536,9661,2973,5353,6571,4890,26759,1428823,10166,1668,351,6494,11782,3071,5403,12336,19396,811,6630,10119,75058
5RWAU,Rest of WA,2259,217,473,250,733,231,1043,316,141,2601,428090,570,58,33,202,434,195,448,2923,837,128,467,786,6709
6GHOB,Greater Hobart,148,7,481,1020,596,142,292,194,91,724,192382,438,52,5,311,386,96,381,296,283,29,315,137,2759
6RTAS,Rest of Tas.,179,10,210,171,335,177,198,113,35,375,257298,197,31,18,283,98,52,215,322,155,17,190,116,1915
7RNTE,Rest of NT,344,12,18,69,113,25,127,34,3,169,38304,204,6,4,26,194,22,95,414,200,84,76,79,1961
7GDAR,Greater Darwin,1699,13,94,3174,371,113,731,484,54,593,92942,647,48,4,122,478,413,398,2577,1017,35,285,1089,4464
8ACTE,Australian Capital Territory,1304,593,1091,2436,3272,889,1075,1883,1095,3247,288639,3642,285,153,933,2215,1941,1116,1683,4215,486,2367,1325,14741
9OTER,Other Territories,14,0,0,0,6,6,13,4,0,12,1688,5,0,0,0,0,0,0,35,10,3,0,4,779